year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	11513	0.01737166681143056
1900	2	68965	0.002900021750163126
1901	5	16950	0.029498525073746312
1905	14297	47050	30.38682252922423
1906	2	34460	0.005803830528148578
1945	2	13184	0.015169902912621358
1947	4	19900	0.020100502512562814
1954	1	41845	0.002389771776795316
1955	1	47462	0.0021069487168682314
1957	1	74852	0.0013359696467696255
1958	1	77175	0.0012957563977972141
1960	1	117070	8.541898009737763e-4
1961	1	117932	8.479462741240715e-4
1962	4	83827	0.004771732258102998
1963	4	91183	0.004386782623954026
1964	1	103767	9.636975146241098e-4
1965	1	149705	6.679803613773755e-4
1966	4	121459	0.0032932923867313247
1967	2	147355	0.0013572664653388076
1968	4	176637	0.0022645312137321173
1969	2	179449	0.0011145227892047323
1970	74	177671	0.04165001604088456
1971	27	173513	0.015560793715744642
1972	8	267509	0.0029905535888512164
1973	70	233881	0.02992975059966393
1974	267	357056	0.07477818605484854
1975	380	403953	0.09407034976841365
1976	192	356285	0.05388944244074267
1977	126	354814	0.03551156380526135
1978	170	571501	0.029746229665389912
1979	82	698725	0.011735661383233748
1980	58	955036	0.006073069496856663
1981	53	647454	0.008185909732583319
1982	65	519569	0.012510369171370885
1983	858	546523	0.15699247790120452
1984	398	473284	0.08409327169310604
1985	465	578419	0.08039155007010489
1986	192	548826	0.03498376534639394
1987	135	578742	0.023326456348424687
1988	231	589793	0.039166283763964645
1989	124	636779	0.019473003977832182
1990	125	710319	0.0175977272183343
1991	329	712588	0.04616973622906925
1992	281	1115625	0.02518767507002801
1993	247	1128678	0.021884009434045847
1994	517	1380695	0.0374449099909828
1995	4494	1504167	0.29877001689307103
1996	1724	1910860	0.09022115696597344
1997	446	2072716	0.021517660885524117
1998	291	2347383	0.012396783993068023
1999	536	2668161	0.02008874277076983
2000	492	2780065	0.017697427937835984
2001	5070	3468878	0.146156768845719
2002	10036	4454447	0.22530293883842373
2003	2480	4372645	0.05671624382953567
2004	1418	5351985	0.026494842567757568
2005	1223	5590141	0.02187780236670238
2006	952	5524088	0.017233613946772752
2007	1703	5815005	0.029286303279188925
2008	10174	5525034	0.18414366318831701
2009	4276	5900643	0.0724666786314644
2010	8986	6100605	0.14729686645832668
2011	23972	6426631	0.373010368885346
2012	10995	7113847	0.15455772383072056
2013	41296	6638592	0.622059617461052
2014	100189	6428564	1.558497356485834
2015	217337	6808688	3.1920540344924015
2016	363711	7387458	4.923357939903009
2017	403480	9054870	4.455944701580475
2018	657511	9597409	6.850921951955992
2019	586799	10165500	5.772455855589985
2020	410833	10256518	4.0055796713855525
2021	354590	10433896	3.398442921033524
2022	297496	7015703	4.240430360293188
2023	66864	1474286	4.535347958265899
