year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	11869	0.016850619260257813
1900	2	69150	0.0028922631959508315
1901	5	17135	0.02918004085205719
1905	14297	47276	30.241560199678485
1906	2	34576	0.005784359093012495
1945	2	13211	0.015138899402013472
1947	4	19958	0.02004208838560978
1954	1	42043	0.0023785172323573483
1955	1	47617	0.002100090303883067
1957	1	76825	0.0013016596160104132
1958	1	77443	0.0012912722905879164
1960	1	117391	8.518540603623787e-4
1961	1	118209	8.459592755204765e-4
1962	4	84099	0.004756299123651887
1963	4	91530	0.004370151862777232
1964	1	104261	9.591314105945655e-4
1965	1	150011	6.666177813627e-4
1966	4	121793	0.003284261000221688
1967	2	148329	0.001348353996858335
1968	4	177008	0.0022597848684805205
1969	2	179940	0.0011114816049794375
1970	74	178719	0.04140578226153906
1971	27	175283	0.015403661507390904
1972	8	269177	0.0029720221267047335
1973	70	237453	0.029479518051993447
1974	267	358380	0.07450192533065461
1975	380	405915	0.09361565845066086
1976	192	358020	0.05362828892240657
1977	126	356622	0.03533152749970557
1978	170	575115	0.029559305530198306
1979	82	702124	0.011678848750363183
1980	58	957113	0.006059890524943241
1981	53	649082	0.008165378180260738
1982	65	524523	0.012392211590340176
1983	858	551517	0.15557090715245406
1984	398	477090	0.08342241505795552
1985	465	585229	0.07945607616847422
1986	192	555765	0.03454697579012712
1987	135	582631	0.023170754731553934
1988	231	593237	0.038938906373001014
1989	124	639231	0.01939830827979244
1990	125	712670	0.017539674744271542
1991	329	714701	0.046033236276428885
1992	281	1120994	0.025067038717424002
1993	247	1134120	0.02177900045850527
1994	517	1387542	0.03726013338695333
1995	4494	1511661	0.29728887627583167
1996	1724	1921924	0.08970177800995253
1997	446	2085515	0.021385604994449813
1998	291	2362471	0.012317611517771013
1999	536	2679673	0.020002440596296637
2000	492	2793218	0.01761409241956768
2001	5070	3489465	0.14529447923965422
2002	10036	4468425	0.22459815259291585
2003	2480	4391286	0.056475483491624096
2004	1418	5375447	0.02637920158081737
2005	1223	5612899	0.02178909686420511
2006	952	5540688	0.01718198173223253
2007	1703	5830090	0.02921052676716826
2008	10174	5536236	0.18377106756287123
2009	4276	5910902	0.07234090499216532
2010	8986	6114751	0.1469561066345956
2011	23972	6449652	0.371678968105566
2012	10995	7135841	0.15408134794483228
2013	41296	6655584	0.6204714717746782
2014	100189	6440512	1.5556061381455388
2015	217337	6826376	3.1837830204489173
2016	363711	7421986	4.900453867738365
2017	403480	9086237	4.440562138099634
2018	657511	9620038	6.834806681636809
2019	586799	10181742	5.763247585727472
2020	410833	10345796	3.9710139268162643
2021	354590	10577062	3.3524432399091544
2022	297496	7173546	4.147126121446771
2023	66864	2474671	2.7019349238747292
