year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	9626	0.02077706212341575
1900	1835	59285	3.0952180146748756
1901	5	12502	0.03999360102383619
1905	2	26809	0.007460181282405162
1906	2	27014	0.007403568520026653
1945	2	13588	0.014718869590815427
1947	4	18133	0.022059229029945403
1954	1	36429	0.0027450657443245765
1955	1	43032	0.0023238520171035507
1957	1	69769	0.001433301322937121
1958	1	73314	0.0013639959625719508
1960	1	104829	9.539345028570338e-4
1961	1	104650	9.555661729574773e-4
1962	4	74308	0.005383000484470044
1963	4	81011	0.00493760106652183
1964	1	90194	0.0011087212009668048
1965	1	135833	7.361981256395721e-4
1966	4	109801	0.003642954071456544
1967	2	132002	0.001515128558658202
1968	4	160470	0.0024926777590826947
1969	2	171222	0.0011680741960729344
1970	74	277557	0.026661190314061615
1971	27	161437	0.016724790475541543
1972	8	237334	0.003370777048379078
1973	70	212405	0.03295590970080742
1974	267	317308	0.08414537294994139
1975	380	364126	0.10435947996023354
1976	192	321086	0.059797063715017154
1977	126	352554	0.03573920590888204
1978	170	532239	0.031940537991391085
1979	82	656140	0.012497332886274271
1980	58	863947	0.006713374778776939
1981	53	593008	0.00893748482313898
1982	65	463223	0.01403211843971478
1983	858	484907	0.17694114541551267
1984	398	431102	0.09232153875416954
1985	496	734768	0.06750430067722057
1986	192	505411	0.03798888429416851
1987	135	551681	0.024470663299986765
1988	231	545634	0.042336071432498706
1989	124	571009	0.02171594493256674
1990	125	673894	0.018548911253105087
1991	329	645573	0.05096247829447638
1992	281	1190584	0.023601862615321555
1993	247	988110	0.024997216909048586
1994	516	1200812	0.04297092300876407
1995	4494	1332979	0.3371395948473307
1996	1724	1650360	0.10446205676337285
1997	446	1761718	0.025316197030398734
1998	291	2042996	0.01424378706566239
1999	536	2316537	0.023137985708840396
2000	492	2364275	0.020809761977773313
2001	5070	3076718	0.164785982985766
2002	10087	3646063	0.27665457234282564
2003	2479	3661251	0.06770909724572284
2004	1185	4496860	0.02635172097863843
2005	1494	4761191	0.031378703353845704
2006	1217	4652560	0.026157642244269818
2007	1694	5338959	0.031729031820622706
2008	10190	4563611	0.22328809357326906
2009	5319	5632963	0.09442632589633555
2010	7642	4957799	0.1541409807053493
2011	27528	5231729	0.5261740430362505
2012	13133	5636195	0.2330118102727106
2013	43761	5501388	0.7954538018405536
2014	106743	4812758	2.217917460217198
2015	219354	4970461	4.4131520195008065
2016	346635	5144390	6.738116666893451
2017	405124	6163675	6.572767058613572
2018	619858	6173606	10.040452856887855
2019	514620	6009487	8.563459742903179
2020	329520	5355169	6.153307206551277
2021	163900	3437146	4.768491067880154
2022	906	1896889	0.04776241519667202
