year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	10812	0.01849796522382538
1900	1835	60463	3.0349139142946924
1901	5	13689	0.03652567755131858
1905	2	28391	0.007044485928639358
1906	2	27862	0.007178235589692054
1945	2	14098	0.014186409419775853
1947	4	19567	0.02044258189809373
1954	1	38849	0.0025740688306005303
1955	1	45966	0.0021755210372884307
1957	1	72317	0.0013828007245875796
1958	1	76811	0.0013018968637304553
1960	1	110959	9.012337890572194e-4
1961	1	108431	9.222454833027455e-4
1962	4	79231	0.005048528984867034
1963	4	85513	0.004677651351256534
1964	1	96537	0.0010358722562333613
1965	1	143848	6.951782437016852e-4
1966	4	116656	0.0034288849266218622
1967	2	140413	0.001424369538433051
1968	4	169833	0.002355254868017405
1969	2	187362	0.0010674523115679806
1970	74	284201	0.026037909789198493
1971	27	166747	0.016192195361835596
1972	8	258393	0.003096059103768291
1973	70	222748	0.031425646919388726
1974	267	337564	0.07909611214465997
1975	380	383674	0.09904241621793503
1976	192	342552	0.05604988439711343
1977	126	373703	0.033716614530790494
1978	170	548316	0.031004019579950245
1979	82	668911	0.012258730982148597
1980	58	911482	0.006363263344750637
1981	53	619395	0.00855673681576377
1982	65	487176	0.01334220076522653
1983	858	509001	0.1685654841542551
1984	398	445680	0.08930174115957637
1985	496	750744	0.06606779408160438
1986	192	523146	0.03670103565734995
1987	135	563153	0.023972170973074813
1988	231	562964	0.04103281915006998
1989	124	590536	0.020997873118658302
1990	125	699381	0.01787294764942142
1991	329	667004	0.049325041528986334
1992	281	1221056	0.023012867550710202
1993	247	1035930	0.023843309876149934
1994	516	1255314	0.041105253346971356
1995	4494	1390692	0.3231484757228775
1996	1724	1713465	0.10061483601941097
1997	446	1820048	0.02450484822378311
1998	291	2100181	0.013855948606334408
1999	536	2371589	0.022600880675361538
2000	492	2417037	0.02035550138454645
2001	5070	3140655	0.16143129379062648
2002	10087	3716373	0.27142054901378304
2003	2479	3747517	0.06615046709594646
2004	1185	4570430	0.025927538546701295
2005	1494	4845545	0.030832445060359568
2006	1217	4757941	0.025578291113740166
2007	1694	5436619	0.03115907147438509
2008	10190	4661071	0.21861928299311467
2009	5319	5772270	0.09214745671980001
2010	7642	5154017	0.1482726968110505
2011	27528	5427112	0.5072311019194002
2012	13133	5868630	0.22378306350885982
2013	43761	5759667	0.7597835083174079
2014	106743	5121425	2.084244131272058
2015	219354	5268557	4.163455002954319
2016	347242	5451696	6.3694307239435215
2017	406299	7006158	5.799169816038976
2018	620243	6989673	8.873705536725394
2019	514640	6965875	7.388016580831554
2020	330041	6375404	5.176785659387233
2021	164020	3775332	4.344518574790244
2022	951	2007853	0.047364025155228
