year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	10721	0.018654976214905326
1900	2	54869	0.003645045471942262
1901	5	14976	0.033386752136752136
1905	2	30131	0.006637682121403206
1906	2	28806	0.006942997986530584
1945	2	12635	0.015829046299960427
1947	4	19009	0.02104266400126256
1954	1	38972	0.002565944780868316
1955	1	44624	0.0022409465758336322
1957	1	69912	0.0014303696075065797
1958	1	69842	0.0014318032129664099
1960	1	100055	9.994503023337165e-4
1961	1	105655	9.464767403341063e-4
1962	4	77529	0.005159359723458319
1963	4	83422	0.004794898228285105
1964	1	94678	0.0010562115803037665
1965	1	136322	7.335573128328517e-4
1966	4	113939	0.003510650435759485
1967	2	136971	0.0014601631002182944
1968	4	168035	0.0023804564525247715
1969	2	171806	0.0011641036983574497
1970	74	174767	0.04234208975378647
1971	27	165216	0.016342242882045322
1972	8	258081	0.0030998020001472408
1973	70	220074	0.03180748293755736
1974	267	334469	0.07982802591570519
1975	380	373273	0.10180216624293749
1976	192	338811	0.05666876223026998
1977	126	324887	0.038782715220984525
1978	170	540203	0.031469651223706645
1979	82	665270	0.012325822598343528
1980	58	887650	0.006534106911507914
1981	53	615311	0.008613530393573331
1982	65	477983	0.01359880999951881
1983	858	498459	0.17213050622017056
1984	398	436350	0.09121118368282342
1985	465	540835	0.08597816339549032
1986	192	512370	0.03747291996018502
1987	135	553144	0.024405941310038613
1988	231	547043	0.04222702785704232
1989	124	583133	0.02126444567534336
1990	125	660001	0.018939365243385995
1991	329	652991	0.05038354280533729
1992	281	1039254	0.027038625783494696
1993	247	1019169	0.024235431022725375
1994	516	1237046	0.04171227262365345
1995	4494	1374959	0.326846109593086
1996	1724	1696309	0.10163242663925028
1997	446	1799468	0.024785103152709577
1998	291	2067778	0.014073077477369427
1999	536	2357519	0.02273576586233239
2000	492	2368888	0.020769238562566066
2001	5070	2962938	0.17111394163495827
2002	10036	3686410	0.27224318510420703
2003	2479	3722459	0.06659576371425448
2004	1184	4545477	0.026047871323515662
2005	1220	4813093	0.025347526008743234
2006	943	4724229	0.01996092907435266
2007	1694	4861990	0.03484170062052781
2008	10127	4642851	0.2181202885899203
2009	3684	5000228	0.07367664034520026
2010	6982	5144002	0.13573089590556148
2011	23831	5421900	0.4395322672863756
2012	10972	5842760	0.18778796322286043
2013	40557	5217600	0.7773114075436982
2014	97437	5153052	1.8908600184900135
2015	208505	5292649	3.939520644577035
2016	334333	5517288	6.059734420244149
2017	391038	7069520	5.531323201575213
2018	609707	7089978	8.599561239823311
2019	507432	7152306	7.094662896134478
2020	326332	6676943	4.887446245984128
2021	166785	4525936	3.6850940888249415
2022	4040	3180948	0.1270061629426196
