year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	11513	0.01737166681143056
1900	2	68961	0.00290018996244254
1901	5	16947	0.029503746975865934
1905	14297	47042	30.39199013647379
1906	2	34457	0.005804335838871637
1945	2	13184	0.015169902912621358
1947	4	19900	0.020100502512562814
1954	1	41843	0.002389886002437684
1955	1	47462	0.0021069487168682314
1957	1	74852	0.0013359696467696255
1958	1	77175	0.0012957563977972141
1960	1	117080	8.541168431841475e-4
1961	1	117980	8.476012883539584e-4
1962	4	83827	0.004771732258102998
1963	4	91183	0.004386782623954026
1964	1	103777	9.636046522832613e-4
1965	1	149705	6.679803613773755e-4
1966	4	121458	0.003293319501391428
1967	2	147358	0.0013572388333174987
1968	4	176650	0.0022643645626945937
1969	2	179466	0.0011144172155171453
1970	74	177820	0.04161511640985266
1971	27	173923	0.015524111244631246
1972	8	268304	0.0029816924086111278
1973	70	235114	0.02977279107156528
1974	267	357370	0.07471248286090047
1975	380	404499	0.09394337192428164
1976	192	356772	0.05381588241229693
1977	126	355767	0.03541643828685628
1978	170	572494	0.029694634354246505
1979	82	699610	0.011720815883134889
1980	58	956028	0.006066767918931244
1981	53	648119	0.008177510611477213
1982	65	520225	0.012494593685424576
1983	858	546961	0.15686676015291767
1984	398	473995	0.0839671304549626
1985	465	579556	0.08023383417650753
1986	192	550466	0.03487953842744147
1987	135	580769	0.02324504234902345
1988	231	592583	0.038981881019199
1989	124	639018	0.01940477420041376
1990	125	711900	0.01755864587722995
1991	329	713881	0.0460861123912809
1992	281	1117767	0.02513940740780503
1993	247	1130441	0.02184987982566096
1994	517	1382360	0.0373998090222518
1995	4494	1505687	0.29846840678042647
1996	1724	1913125	0.09011434171839268
1997	446	2074750	0.021496565851307388
1998	291	2349793	0.012384069575490268
1999	536	2670224	0.020073222321423223
2000	492	2782085	0.01768457829289903
2001	5070	3472089	0.1460216025568469
2002	10036	4457921	0.22512736318117793
2003	2480	4374573	0.05669124735145579
2004	1418	5354897	0.02648043463767837
2005	1223	5592330	0.021869238760945795
2006	952	5526450	0.017226248314921876
2007	1703	5818369	0.029269370849459703
2008	10174	5528541	0.18402685265425364
2009	4276	5903508	0.07243151021392705
2010	8986	6105768	0.14717231313079698
2011	23972	6431322	0.37273829548574927
2012	10995	7119923	0.15442582735796442
2013	41296	6641993	0.6217410948792026
2014	100189	6432823	1.5574655170832463
2015	217337	6814390	3.1893830555633005
2016	363711	7391091	4.9209379237787765
2017	403480	9059052	4.453887669482414
2018	657511	9602417	6.847348953914416
2019	586799	10170568	5.769579437451281
2020	410833	10259226	4.0045223684515765
2021	354590	10438180	3.3970481444083163
2022	297496	7016244	4.240103394351736
2023	66864	1468353	4.553673401423227
