year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	9611	0.020809489127041933
1900	1835	59522	3.0828937199690873
1901	5	12503	0.03999040230344717
1905	2	27439	0.007288895367906994
1906	2	27017	0.007402746418921419
1945	2	13598	0.014708045300779526
1947	4	18140	0.02205071664829107
1954	1	36462	0.0027425813175360647
1955	1	43190	0.0023153507756425097
1957	1	69778	0.0014331164550431368
1958	1	73449	0.0013614889242876008
1960	1	105243	9.501819598453104e-4
1961	1	104762	9.545445867776484e-4
1962	4	75028	0.005331342965292957
1963	4	81908	0.004883527860526445
1964	1	91786	0.001089490772013161
1965	1	139677	7.159374843388676e-4
1966	4	112760	0.0035473572188719402
1967	2	135793	0.001472829969144212
1968	4	166010	0.002409493404011806
1969	2	181368	0.0011027303603722818
1970	74	277692	0.026648228973106897
1971	27	161480	0.016720336883824623
1972	8	252199	0.003172098224021507
1973	70	217031	0.03225345687943197
1974	267	329943	0.08092306853001882
1975	380	374299	0.10152311387420217
1976	192	332165	0.057802598106362804
1977	126	361036	0.03489956680220255
1978	170	538593	0.03156372251403193
1979	82	658719	0.012448403644042453
1980	58	868621	0.006677250492447223
1981	53	593527	0.008929669585376908
1982	65	463567	0.014021705600269217
1983	858	486368	0.17640963221264558
1984	398	434569	0.09158499570839153
1985	496	737531	0.06725141044918789
1986	192	509099	0.03771368633605644
1987	135	552338	0.024441555714073627
1988	231	549017	0.042075199857199326
1989	124	574830	0.021571595080284604
1990	125	678316	0.018427989314714677
1991	329	647892	0.05078006828298544
1992	281	1199022	0.023435766816622215
1993	247	1009852	0.024459029639986852
1994	516	1226006	0.042087885377396196
1995	4494	1357009	0.331169505876527
1996	1724	1677358	0.10278068247803987
1997	446	1784784	0.02498901827896261
1998	291	2062707	0.014107675011526115
1999	536	2330942	0.02299499515646464
2000	492	2377862	0.020690855903328285
2001	5070	3090126	0.16407097962995684
2002	10087	3656286	0.27588104431655514
2003	2479	3670016	0.06754738943917411
2004	1185	4505642	0.02630035852826301
2005	1494	4771261	0.031312476932198845
2006	1217	4671688	0.026050541046405494
2007	1694	5360635	0.031600733868282396
2008	10190	4590894	0.22196112565439327
2009	5319	5687309	0.09352401988356884
2010	7642	5015267	0.15237473897202283
2011	27528	5280736	0.5212909715615399
2012	13133	5702531	0.23030124693754406
2013	43761	5559705	0.7871101074607376
2014	106743	4909436	2.174241603312478
2015	219354	5056439	4.338112256471402
2016	346635	5245855	6.607788434869054
2017	405124	6271856	6.459395751433068
2018	619872	6265809	9.892928431109214
2019	514640	6103932	8.431286587072071
2020	330041	5454195	6.051140452440737
2021	164020	3574725	4.588324976047108
2022	951	1926723	0.04935841841302564
