year	n_occ_depobio	n_occ_fr	per_occ_depobio
1863	2	10819	0.018485996857380532
1900	1835	60493	3.0334088241614734
1901	5	13735	0.03640334910811795
1905	2	29147	0.006861769650392837
1906	2	28201	0.007091947094074678
1945	2	14107	0.014177358758063374
1947	4	19575	0.020434227330779056
1954	1	38910	0.0025700334104343356
1955	1	45990	0.0021743857360295715
1957	1	72352	0.0013821318000884564
1958	1	76875	0.0013008130081300813
1960	1	110981	9.010551355637451e-4
1961	1	108456	9.220328981338054e-4
1962	4	79280	0.005045408678102927
1963	4	85523	0.0046771044046630735
1964	1	96566	0.0010355611705983472
1965	1	143901	6.949222034593228e-4
1966	4	116686	0.003428003359443292
1967	2	140450	0.001423994304022784
1968	4	169861	0.002354866626241456
1969	2	187427	0.001067082117304337
1970	74	284287	0.026030033030001374
1971	27	166886	0.016178708819193942
1972	8	258503	0.003094741647098873
1973	70	222845	0.03141196795979268
1974	267	337651	0.07907573204284897
1975	380	383708	0.09903364016387461
1976	192	342574	0.05604628489027188
1977	126	373728	0.03371435910608785
1978	170	548385	0.031000118529864965
1979	82	668933	0.012258327814594286
1980	58	911852	0.0063606813386382875
1981	53	620177	0.008545947366638879
1982	65	487755	0.013326362620577953
1983	858	509068	0.16854329873415733
1984	398	445737	0.08929032142272236
1985	496	751059	0.06604008473368937
1986	192	523195	0.036697598409770736
1987	135	564896	0.023898204271228685
1988	231	563660	0.04098215236135259
1989	124	592182	0.020939508461925556
1990	125	702410	0.017795874204524425
1991	329	669479	0.0491426915556724
1992	281	1223732	0.0229625440864503
1993	247	1039955	0.02375102768869807
1994	516	1257551	0.041032133090427345
1995	4494	1393771	0.3224346036759267
1996	1724	1717349	0.10038728295762829
1997	446	1821631	0.02448355347488048
1998	291	2102940	0.013837769979172018
1999	536	2375516	0.022563518831277076
2000	492	2417881	0.0203483959715139
2001	5070	3143190	0.16130109856547012
2002	10087	3717422	0.27134395825924523
2003	2479	3747676	0.06614766057684816
2004	1185	4572594	0.025915268226306555
2005	1494	4846061	0.030829162076168665
2006	1217	4758218	0.025576802071699954
2007	1694	5436929	0.031157294862596146
2008	10190	4661229	0.2186118725340463
2009	5319	5772397	0.09214542935976164
2010	7642	5154437	0.14826061507784458
2011	27528	5427272	0.5072161483706731
2012	13133	5868939	0.22377128131677634
2013	43761	5760370	0.7596907837517382
2014	106743	5121614	2.0841672175997648
2015	219354	5269169	4.162971428701566
2016	347242	5452060	6.369005476828941
2017	406299	7007228	5.798284285883091
2018	620243	6990352	8.872843599292283
2019	514640	6967117	7.386699548751658
2020	330041	6377085	5.175421058367577
2021	164020	3779124	4.340159253837662
2022	951	2012344	0.04725832163884505
